"LibraryName", "LibraryPath", "LibraryPathGeneric", "ExecutableName", "ExecutablePath", "ExecutablePathGeneric", "Type"
"winutils.dll","C:\Program Files\Palo Alto Networks\Traps\winutils.dll","%PROGRAMFILES%\Palo Alto Networks\Traps\winutils.dll","cydump.exe","C:\Program Files\Palo Alto Networks\Traps\cydump.exe","%PROGRAMFILES%\Palo Alto Networks\Traps\cydump.exe","Sideloading"
"fnp_act_installer.dll","C:\Program Files\InstallShield\%VERSION%\System\fnp_act_installer.dll","%PROGRAMFILES%\InstallShield\%VERSION%\System\fnp_act_installer.dll","TSConfig.exe","C:\Program Files\InstallShield\%VERSION%\System\TSConfig.exe","%PROGRAMFILES%\InstallShield\%VERSION%\System\TSConfig.exe","Sideloading"
"log.dll","C:\Program Files\Bitdefender Antivirus Free\log.dll","%PROGRAMFILES%\Bitdefender Antivirus Free\log.dll","BDReinit.exe","C:\Program Files\Bitdefender Antivirus Free\BDReinit.exe","%PROGRAMFILES%\Bitdefender Antivirus Free\BDReinit.exe","Sideloading"
"wsc.dll","C:\Program Files\AVAST Software\Avast\wsc.dll","%PROGRAMFILES%\AVAST Software\Avast\wsc.dll","wsc_proxy.exe","","","Search Order"
"vboxrt.dll","C:\Program Files\Oracle\VirtualBox\vboxrt.dll","%PROGRAMFILES%\Oracle\VirtualBox\vboxrt.dll","VBoxSVC.exe","C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe","%PROGRAMFILES%\Oracle\VirtualBox\VBoxSVC.exe","Sideloading"
"qtcorevbox4.dll","C:\Program Files\Oracle\VirtualBox\qtcorevbox4.dll","%PROGRAMFILES%\Oracle\VirtualBox\qtcorevbox4.dll","VBoxTestOGL.exe","C:\Program Files\Oracle\VirtualBox\VBoxTestOGL.exe","%PROGRAMFILES%\Oracle\VirtualBox\VBoxTestOGL.exe","Sideloading"
"chrome_frame_helper.dll","C:\Users\<User>\AppData\Local\Google\Chrome\Application\chrome_frame_helper.dll","%LOCALAPPDATA%\Google\Chrome\Application\chrome_frame_helper.dll","chrome_frame_helper.exe","","","Sideloading"
"chrome_frame_helper.dll","C:\Program Files\Google\Chrome\Application\chrome_frame_helper.dll","%PROGRAMFILES%\Google\Chrome\Application\chrome_frame_helper.dll","chrome_frame_helper.exe","","","Sideloading"
"vntfxf32.dll","C:\Program Files\Venta\VentaFax & Voice\vntfxf32.dll","%PROGRAMFILES%\Venta\VentaFax & Voice\vntfxf32.dll","spoololk.exe","C:\Program Files\Venta\VentaFax & Voice\spoololk.exe","%PROGRAMFILES%\Venta\VentaFax & Voice\spoololk.exe","Sideloading"
"lmiguardiandll.dll","C:\Program Files\LogMeIn\lmiguardiandll.dll","%PROGRAMFILES%\LogMeIn\lmiguardiandll.dll","LMIGuardianSvc.exe","","","Sideloading"
"lmiguardiandll.dll","C:\Program Files\LogMeIn\x86\lmiguardiandll.dll","%PROGRAMFILES%\LogMeIn\x86\lmiguardiandll.dll","LMIGuardianSvc.exe","","","Sideloading"
"lmiguardiandll.dll","C:\Program Files\LogMeIn\x64\lmiguardiandll.dll","%PROGRAMFILES%\LogMeIn\x64\lmiguardiandll.dll","LMIGuardianSvc.exe","","","Sideloading"
"qrt.dll","C:\Program Files\F-Secure\Anti-Virus\qrt.dll","%PROGRAMFILES%\F-Secure\Anti-Virus\qrt.dll","qrtfix.exe","","","Sideloading"
"mozglue.dll","C:\Program Files\SeaMonkey\mozglue.dll","%PROGRAMFILES%\SeaMonkey\mozglue.dll","seamonkey.exe","C:\Program Files\SeaMonkey\seamonkey.exe","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading"
"mozglue.dll","C:\Program Files\Mozilla Firefox\mozglue.dll","%PROGRAMFILES%\Mozilla Firefox\mozglue.dll","seamonkey.exe","C:\Program Files\SeaMonkey\seamonkey.exe","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading"
"mozglue.dll","C:\Program Files\Mozilla Thunderbird\mozglue.dll","%PROGRAMFILES%\Mozilla Thunderbird\mozglue.dll","seamonkey.exe","C:\Program Files\SeaMonkey\seamonkey.exe","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading"
"badata_x64.dll","C:\Program Files\True Burner\badata_x64.dll","%PROGRAMFILES%\True Burner\badata_x64.dll","TrueBurner.exe","C:\Program Files\True Burner\TrueBurner.exe","%PROGRAMFILES%\True Burner\TrueBurner.exe","Sideloading"
"zlibwapi.dll","C:\Program Files\DS Clock\zlibwapi.dll","%PROGRAMFILES%\DS Clock\zlibwapi.dll","dsclock.exe","C:\Program Files\DS Clock\dsclock.exe","%PROGRAMFILES%\DS Clock\dsclock.exe","Sideloading"
"liteskinutils.dll","C:\Program Files\ICQLite\liteskinutils.dll","%PROGRAMFILES%\ICQLite\liteskinutils.dll","ICQLite.exe","C:\Program Files\ICQLite\ICQLite.exe","%PROGRAMFILES%\ICQLite\ICQLite.exe","Sideloading"
"skinutils.dll","C:\Program Files\ICQLite\skinutils.dll","%PROGRAMFILES%\ICQLite\skinutils.dll","ICQLite.exe","C:\Program Files\ICQLite\ICQLite.exe","%PROGRAMFILES%\ICQLite\ICQLite.exe","Sideloading"
"commfunc.dll","C:\Program Files\Lenovo\Communications Utility\commfunc.dll","%PROGRAMFILES%\Lenovo\Communications Utility\commfunc.dll","cammute.exe","","","Sideloading"
"mediainfo_i386.dll","C:\Program Files\MediaInfo\mediainfo_i386.dll","%PROGRAMFILES%\MediaInfo\mediainfo_i386.dll","MediaInfo.exe","C:\Program Files\MediaInfo\MediaInfo.exe","%PROGRAMFILES%\MediaInfo\MediaInfo.exe","Sideloading"
